team_id,team_name,slug,image_url,league,season
5962,Qarabağ,qarabag,https://api.sofascore.app/api/v1/team/5962/image,UEFA Champions League,2019/2020
2321,Zenit St. Petersburg,zenit-st-petersburg,https://api.sofascore.app/api/v1/team/2321/image,UEFA Champions League,2019/2020
2242,HJK,hjk,https://api.sofascore.app/api/v1/team/2242/image,UEFA Champions League,2019/2020
1644,Paris Saint-Germain,paris-saint-germain,https://api.sofascore.app/api/v1/team/1644/image,UEFA Champions League,2019/2020
2352,Celtic,celtic,https://api.sofascore.app/api/v1/team/2352/image,UEFA Champions League,2019/2020
1764,AIK,aik,https://api.sofascore.app/api/v1/team/1764/image,UEFA Champions League,2019/2020
5143,FK Budućnost Podgorica,fk-buducnost-podgorica,https://api.sofascore.app/api/v1/team/5143/image,UEFA Champions League,2019/2020
3346,Flora Tallinn,flora-tallinn,https://api.sofascore.app/api/v1/team/3346/image,UEFA Champions League,2019/2020
7711,FC Santa Coloma,fc-santa-coloma,https://api.sofascore.app/api/v1/team/7711/image,UEFA Champions League,2019/2020
5237,FK Sarajevo,fk-sarajevo,https://api.sofascore.app/api/v1/team/5237/image,UEFA Champions League,2019/2020
2244,KuPS,kups,https://api.sofascore.app/api/v1/team/2244/image,UEFA Champions League,2019/2020
37946,Inter Club d'Escaldes,inter-club-descaldes,https://api.sofascore.app/api/v1/team/37946/image,UEFA Champions League,2019/2020
2216,SK Slavia Praha,slavia-praha,https://api.sofascore.app/api/v1/team/2216/image,UEFA Champions League,2019/2020
3002,FC Porto,fc-porto,https://api.sofascore.app/api/v1/team/3002/image,UEFA Champions League,2019/2020
2445,Young Boys,young-boys,https://api.sofascore.app/api/v1/team/2445/image,UEFA Champions League,2019/2020
5198,Maccabi Tel Aviv,maccabi-tel-aviv,https://api.sofascore.app/api/v1/team/5198/image,UEFA Champions League,2019/2020
126304,Lincoln Red Imps,lincoln-red-imps,https://api.sofascore.app/api/v1/team/126304/image,UEFA Champions League,2019/2020
3353,Dynamo Brest,dynamo-brest,https://api.sofascore.app/api/v1/team/3353/image,UEFA Champions League,2019/2020
3006,Benfica,benfica,https://api.sofascore.app/api/v1/team/3006/image,UEFA Champions League,2019/2020
3313,Shakhtar Donetsk,shakhtar-donetsk,https://api.sofascore.app/api/v1/team/3313/image,UEFA Champions League,2019/2020
229757,FC Feronikeli 74,kf-feronikeli-74,https://api.sofascore.app/api/v1/team/229757/image,UEFA Champions League,2019/2020
661,Molde FK,molde-fk,https://api.sofascore.app/api/v1/team/661/image,UEFA Champions League,2019/2020
5332,Valletta FC,valletta-fc,https://api.sofascore.app/api/v1/team/5332/image,UEFA Champions League,2019/2020
5413,KF Shkëndija,kf-shkendija,https://api.sofascore.app/api/v1/team/5413/image,UEFA Champions League,2019/2020
2950,AZ Alkmaar,az-alkmaar,https://api.sofascore.app/api/v1/team/2950/image,UEFA Champions League,2019/2020
2890,KRC Genk,krc-genk,https://api.sofascore.app/api/v1/team/2890/image,UEFA Champions League,2019/2020
5149,FK Crvena zvezda,fk-crvena-zvezda,https://api.sofascore.app/api/v1/team/5149/image,UEFA Champions League,2019/2020
2681,Bayer 04 Leverkusen,bayer-04-leverkusen,https://api.sofascore.app/api/v1/team/2681/image,UEFA Champions League,2019/2020
5195,KF Tirana,kf-tirana,https://api.sofascore.app/api/v1/team/5195/image,UEFA Champions League,2019/2020
2058,LASK,lask,https://api.sofascore.app/api/v1/team/2058/image,UEFA Champions League,2019/2020
2673,Borussia Dortmund,borussia-dortmund,https://api.sofascore.app/api/v1/team/2673/image,UEFA Champions League,2019/2020
2672,FC Bayern München,fc-bayern-munchen,https://api.sofascore.app/api/v1/team/2672/image,UEFA Champions League,2019/2020
3050,Beşiktaş,besiktas,https://api.sofascore.app/api/v1/team/3050/image,UEFA Champions League,2019/2020
37862,SP Tre Penne,sp-tre-penne,https://api.sofascore.app/api/v1/team/37862/image,UEFA Champions League,2019/2020
3305,Dynamo Kyiv,dynamo-kyiv,https://api.sofascore.app/api/v1/team/3305/image,UEFA Champions League,2019/2020
3350,BATE Borisov,bate-borisov,https://api.sofascore.app/api/v1/team/3350/image,UEFA Champions League,2019/2020
2320,Lokomotiv Moscow,lokomotiv-moscow,https://api.sofascore.app/api/v1/team/2320/image,UEFA Champions League,2019/2020
3061,Galatasaray,galatasaray,https://api.sofascore.app/api/v1/team/3061/image,UEFA Champions League,2019/2020
36246,NK Lokomotiva Zagreb,nk-lokomotiva-zagreb,https://api.sofascore.app/api/v1/team/36246/image,UEFA Champions League,2019/2020
2952,PSV Eindhoven,psv-eindhoven,https://api.sofascore.app/api/v1/team/2952/image,UEFA Champions League,2019/2020
2697,Inter,inter,https://api.sofascore.app/api/v1/team/2697/image,UEFA Champions League,2019/2020
33584,Floriana FC,floriana-fc,https://api.sofascore.app/api/v1/team/33584/image,UEFA Champions League,2019/2020
34425,FK Krasnodar,fc-krasnodar,https://api.sofascore.app/api/v1/team/34425/image,UEFA Champions League,2019/2020
2046,Red Bull Salzburg,red-bull-salzburg,https://api.sofascore.app/api/v1/team/2046/image,UEFA Champions League,2019/2020
5222,FK Partizani,fk-partizani,https://api.sofascore.app/api/v1/team/5222/image,UEFA Champions League,2019/2020
6224,FK Sutjeska Nikšić,fk-sutjeska-niksic,https://api.sofascore.app/api/v1/team/6224/image,UEFA Champions League,2019/2020
126298,Europa FC,europa-fc,https://api.sofascore.app/api/v1/team/126298/image,UEFA Champions League,2019/2020
36360,RB Leipzig,rb-leipzig,https://api.sofascore.app/api/v1/team/36360/image,UEFA Champions League,2019/2020
1902,KR Reykjavík,kr-reykjavik,https://api.sofascore.app/api/v1/team/1902/image,UEFA Champions League,2019/2020
7918,Piast Gliwice,piast-gliwice,https://api.sofascore.app/api/v1/team/7918/image,UEFA Champions League,2019/2020
1643,Lille,lille,https://api.sofascore.app/api/v1/team/1643/image,UEFA Champions League,2019/2020
2714,Napoli,napoli,https://api.sofascore.app/api/v1/team/2714/image,UEFA Champions League,2019/2020
5152,FK Partizan,fk-partizan,https://api.sofascore.app/api/v1/team/5152/image,UEFA Champions League,2019/2020
3179,Dundalk FC,dundalk-fc,https://api.sofascore.app/api/v1/team/3179/image,UEFA Champions League,2019/2020
5343,FK Sūduva Marijampolė,fk-suduva-marijampole,https://api.sofascore.app/api/v1/team/5343/image,UEFA Champions League,2019/2020
1658,Stade Rennais,stade-rennais,https://api.sofascore.app/api/v1/team/1658/image,UEFA Champions League,2020/2021
2699,Lazio,lazio,https://api.sofascore.app/api/v1/team/2699/image,UEFA Champions League,2020/2021
2527,Borussia M'gladbach,borussia-mgladbach,https://api.sofascore.app/api/v1/team/2527/image,UEFA Champions League,2020/2021
1641,Olympique de Marseille,olympique-de-marseille,https://api.sofascore.app/api/v1/team/1641/image,UEFA Champions League,2020/2021
1289,FC Midtjylland,fc-midtjylland,https://api.sofascore.app/api/v1/team/1289/image,UEFA Champions League,2020/2021
2903,KAA Gent,kaa-gent,https://api.sofascore.app/api/v1/team/2903/image,UEFA Champions League,2020/2021
37863,SS Folgore / Falciano,ss-folgore-falciano,https://api.sofascore.app/api/v1/team/37863/image,UEFA Champions League,2021/2022
229752,FC Prishtina,fc-prishtina,https://api.sofascore.app/api/v1/team/229752/image,UEFA Champions League,2021/2022
3177,Shamrock Rovers,shamrock-rovers,https://api.sofascore.app/api/v1/team/3177/image,UEFA Champions League,2021/2022
213357,NŠ Mura,ns-mura,https://api.sofascore.app/api/v1/team/213357/image,UEFA Champions League,2021/2022
5345,FK Žalgiris,fk-zalgiris,https://api.sofascore.app/api/v1/team/5345/image,UEFA Champions League,2021/2022
5172,Kairat Almaty,kairat-almaty,https://api.sofascore.app/api/v1/team/5172/image,UEFA Champions League,2021/2022
1892,Malmö FF,malmo-ff,https://api.sofascore.app/api/v1/team/1892/image,UEFA Champions League,2021/2022
5331,Hibernians,hibernians,https://api.sofascore.app/api/v1/team/5331/image,UEFA Champions League,2021/2022
67966,FC Alashkert,fc-alashkert,https://api.sofascore.app/api/v1/team/67966/image,UEFA Champions League,2021/2022
2524,VfL Wolfsburg,vfl-wolfsburg,https://api.sofascore.app/api/v1/team/2524/image,UEFA Champions League,2021/2022
2351,Rangers,rangers,https://api.sofascore.app/api/v1/team/2351/image,UEFA Champions League,2021/2022
1653,AS Monaco,as-monaco,https://api.sofascore.app/api/v1/team/1653/image,UEFA Champions League,2021/2022
5417,KF Teuta Durrës,kf-teuta-durres,https://api.sofascore.app/api/v1/team/5417/image,UEFA Champions League,2021/2022
2692,Milan,milan,https://api.sofascore.app/api/v1/team/2692/image,UEFA Champions League,2021/2022
5215,Neftçi Baku PFK,neftci-baku-pfk,https://api.sofascore.app/api/v1/team/5215/image,UEFA Champions League,2021/2022
2218,AC Sparta Praha,sparta-praha,https://api.sofascore.app/api/v1/team/2218/image,UEFA Champions League,2021/2022
656,Bodø/Glimt,bodoglimt,https://api.sofascore.app/api/v1/team/656/image,UEFA Champions League,2021/2022
5235,FK Borac Banja Luka,fk-borac-banja-luka,https://api.sofascore.app/api/v1/team/5235/image,UEFA Champions League,2021/2022
3357,Shakhtyor Soligorsk,shakhtyor-soligorsk,https://api.sofascore.app/api/v1/team/3357/image,UEFA Champions League,2021/2022
2323,FC Spartak Moscow,fc-spartak-moscow,https://api.sofascore.app/api/v1/team/2323/image,UEFA Champions League,2021/2022
5197,Maccabi Haifa,maccabi-haifa,https://api.sofascore.app/api/v1/team/5197/image,UEFA Champions League,2021/2022
3001,Sporting,sporting,https://api.sofascore.app/api/v1/team/3001/image,UEFA Champions League,2021/2022
1281,Brøndby IF,brondby-if,https://api.sofascore.app/api/v1/team/1281/image,UEFA Champions League,2021/2022
3052,Fenerbahçe,fenerbahce,https://api.sofascore.app/api/v1/team/3052/image,UEFA Champions League,2022/2023
230417,KF Ballkani,kf-ballkani,https://api.sofascore.app/api/v1/team/230417/image,UEFA Champions League,2022/2023
5178,HŠK Zrinjski Mostar,hsk-zrinjski-mostar,https://api.sofascore.app/api/v1/team/5178/image,UEFA Champions League,2022/2023
3402,Apollon Limassol,apollon-limassol,https://api.sofascore.app/api/v1/team/3402/image,UEFA Champions League,2022/2023
2674,Eintracht Frankfurt,eintracht-frankfurt,https://api.sofascore.app/api/v1/team/2674/image,UEFA Champions League,2022/2023
3051,Trabzonspor,trabzonspor,https://api.sofascore.app/api/v1/team/3051/image,UEFA Champions League,2022/2023
2051,SK Sturm Graz,sk-sturm-graz,https://api.sofascore.app/api/v1/team/2051/image,UEFA Champions League,2022/2023
2450,FC Zürich,fc-zurich,https://api.sofascore.app/api/v1/team/2450/image,UEFA Champions League,2022/2023
4860,Royale Union Saint-Gilloise,royale-union-saint-gilloise,https://api.sofascore.app/api/v1/team/4860/image,UEFA Champions League,2022/2023
3404,AEK Larnaca,aek-larnaca,https://api.sofascore.app/api/v1/team/3404/image,UEFA Champions League,2022/2023
1908,Víkingur Reykjavík,vikingur-reykjavik,https://api.sofascore.app/api/v1/team/1908/image,UEFA Champions League,2022/2023
5214,Pyunik Yerevan,pyunik-yerevan,https://api.sofascore.app/api/v1/team/5214/image,UEFA Champions League,2022/2023
68718,RFS,rfs,https://api.sofascore.app/api/v1/team/68718/image,UEFA Champions League,2022/2023
3121,Lech Poznań,lech-poznan,https://api.sofascore.app/api/v1/team/3121/image,UEFA Champions League,2022/2023
37297,Dinamo Batumi,dinamo-batumi,https://api.sofascore.app/api/v1/team/37297/image,UEFA Champions League,2022/2023
37860,La Fiorita,la-fiorita,https://api.sofascore.app/api/v1/team/37860/image,UEFA Champions League,2022/2023
5362,FC Tobol,fc-tobol,https://api.sofascore.app/api/v1/team/5362/image,UEFA Champions League,2022/2023
136548,KF Shkupi,kf-shkupi,https://api.sofascore.app/api/v1/team/136548/image,UEFA Champions League,2022/2023
3342,FCI Levadia Tallinn,fci-levadia-tallinn,https://api.sofascore.app/api/v1/team/3342/image,UEFA Champions League,2022/2023
2889,Royal Antwerp FC,royal-antwerp-fc,https://api.sofascore.app/api/v1/team/2889/image,UEFA Champions League,2023/2024
35268,Raków Częstochowa,rakow-czestochowa,https://api.sofascore.app/api/v1/team/35268/image,UEFA Champions League,2023/2024
